Player/Position,Player,Position,Season ,Team,Draw WAR,EV Shoot WAR,EV TOI,EVD WAR,EVO WAR,Pens WAR,PP Shoot WAR,PP TOI,PPO WAR,Season,SH Shoot WAR,SH TOI,SHD WAR,Take WAR,TOI,WAR
ROSS COLTONF,ROSS COLTON,F,mistake,T.B,0.189851441,1.450508633,882.233333333,-0.111018533,0.818688691,0.523072025,-0.343910307,110.9,-0.179006881,20212022,0,2.5,-7.870353254e-05,0.333220583,995.633333333,2.158254924
RYAN HARTMANF,RYAN HARTMAN,F,mistake,MIN,0.151686772,2.921706011,1153.316666667,-0.443722329,0.586921762,-0.099390642,-0.982677437,188.9,0.331310518,20212022,-0.051878376,83.216666667,-0.104269394,-0.251077415,1425.433333333,2.158000112
TOM WILSONF,TOM WILSON,F,mistake,WSH,0.174314555,1.231808822,1072.316666667,0.468622968,-0.088497265,0.161676623,-0.187987520,187.9,0.318607566,20212022,0.167301265,122.133333333,0.081793760,-0.012637933,1382.35,2.153326219
JARED SPURGEOND,JARED SPURGEON,D,mistake,MIN,-0.249786520,0.973144998,994.933333333,0.593563639,0.294921139,0.285868324,-0.277292723,195.25,0.213461593,20212022,-0.000352581,128.983333333,0.059117762,0.535654844,1319.166666667,2.142432153
JESPER FASTF,JESPER FAST,F,mistake,CAR,-0.470680192,0.406005080,1029.016666667,0.585978828,0.553989125,0.154551220,0.168218339,22.966666667,-0.007620875,20212022,-0.112354928,129.9,0.390099914,0.625231412,1181.883333333,2.138866703
PIERRE-LUC DUBOISF,PIERRE-LUC DUBOIS,F,mistake,WPG,0.510414859,-1.404629283,1212.816666667,-0.264083861,1.550587270,0.253082820,1.215978385,242.083333333,0.739677586,20212022,0,1.783333333,-0.000198518,-0.257332039,1456.683333333,2.090414399
ANDRE BURAKOVSKYF,ANDRE BURAKOVSKY,F,mistake,COL,-0.144891505,1.795499799,1121.066666667,-0.620148373,0.554197861,0.232919356,0.281382658,154.650000000,-0.154250352,20212022,0,0.133333333,-1.234152577e-05,0.377810861,1275.85,2.089588607
JONATHAN HUBERDEAUF,JONATHAN HUBERDEAU,F,mistake,FLA,0.040261565,1.047851478,1059.933333333,-0.657145990,0.891048466,0.465783896,-0.120309330,289.15,0.135546040,20212022,0.281227627,145.650000000,0.045537003,0.425522331,1494.733333333,2.089539190
TREVOR ZEGRASF,TREVOR ZEGRAS,F,mistake,ANA,0.198712238,0.654449575,1105.266666667,-0.120959376,0.359133153,0.402597662,0.898552793,193.666666667,-0.112434830,20212022,0,1.25,0.000164957,0.203885424,1300.183333333,2.081503934
MATT BOLDYF,MATT BOLDY,F,mistake,MIN,-0.107831753,1.291452788,594.333333333,0.042244538,0.386810077,0.100097416,0.113733849,109.833333333,0.143279206,20212022,-0.001627092,1.133333333,9.665893308e-06,0.207929169,705.300000000,2.076000448
