Player + Season,Player,Rights,Position,Leagues,Teams,Season ,Draft Year,Age,DY-1 NHLe,NHLe,Star %,Make %
https://www.eliteprospects.com/player/378623/jesse-pesonenJesse Pesonen2022,Jesse Pesonen,Unsigned,F,"u20 sm-liiga, mestis","Kiekko-Espoo U20, Kiekko-Espoo",2022,4,21.39,1.38,4.32,0.11%,0.13%
https://www.eliteprospects.com/player/490242/ivan-pusevIvan Pusev2022,Ivan Pusev,Unsigned,F,belarus-vysshaya,HK Gomel-2,2022,4,21.2,1.5,3.74,0.11%,0.15%
https://www.eliteprospects.com/player/418540/nicholas-canadeNicholas Canade2022,Nicholas Canade,Unsigned,F,"u20 sm-liiga, mestis","Sport U20, RoKi",2022,4,21.53,0.71,5.26,0.11%,0.10%
https://www.eliteprospects.com/player/236656/tomas-psenickaTomas Psenicka2022,Tomas Psenicka,Unsigned,F,czech2,HC Slavia Praha,2022,5,22.91,1.98,9.86,0.11%,0.79%
https://www.eliteprospects.com/player/369977/sam-skinnerSam Skinner2022,Sam Skinner,Unsigned,D,"echl, ncaa","Idaho Steelheads, Ferris State Univ.",2022,3,20.46,,3.29,0.11%,0.33%
https://www.eliteprospects.com/player/505393/jordan-gualtieriJordan Gualtieri2022,Jordan Gualtieri,Unsigned,F,usphl-premier,Northern Cyclones,2022,2,19.09,,3.66,0.11%,0.14%
https://www.eliteprospects.com/player/541646/jesper-edbergJesper Edberg2022,Jesper Edberg,Unsigned,F,j20-elit,HC Dalen J20,2022,1,18.11,0.81,1.46,0.11%,0.41%
https://www.eliteprospects.com/player/650110/brophy-dunneBrophy Dunne2022,Brophy Dunne,Unsigned,D,ajhl,Spruce Grove Saints,2022,2,19.68,0.36,1.74,0.11%,0.34%
https://www.eliteprospects.com/player/711341/dylan-heckDylan Heck2022,Dylan Heck,Unsigned,D,usphl-18u,South Shore Kings 18U AAA,2022,1,18.36,0.2,0,0.11%,0.02%
https://www.eliteprospects.com/player/392482/jerry-tornbergJerry Tornberg2022,Jerry Tornberg,Unsigned,F,"division-1, j20-elit","Nykopings SK, Nykopings SK J20",2022,3,20.37,0.94,0.59,0.11%,0.13%
https://www.eliteprospects.com/player/344743/gustav-mattssonGustav Mattsson2022,Gustav Mattsson,Unsigned,D,division-2,Viggbyholms IK,2022,4,21.25,0.22,1.36,0.11%,0.18%
https://www.eliteprospects.com/player/340658/jeremy-fontaineJeremy Fontaine2022,Jeremy Fontaine,Unsigned,D,bchl,Alberni Valley Bulldogs,2022,2,19.17,0.66,1.17,0.11%,0.24%
https://www.eliteprospects.com/player/692833/blake-rinehartBlake Rinehart2022,Blake Rinehart,Unsigned,D,ushs-mn,Elk River High,2022,0,17.18,0,1.47,0.11%,0.20%
https://www.eliteprospects.com/player/476672/ben-lefrancBen Lefranc2022,Ben Lefranc,Unsigned,D,bchl,Prince George Spruce Kings,2022,1,18.09,,1.51,0.11%,0.08%
https://www.eliteprospects.com/player/647577/william-sokolWilliam Sokol2022,William Sokol,Unsigned,F,"j18-elit, j20-elit","Falu IF J18, Falu IF J20",2022,0,17.06,,0.81,0.11%,1.25%
https://www.eliteprospects.com/player/634534/emile-trottierEmile Trottier2022,Emile Trottier,Unsigned,F,usphl-premier,South Shore Kings,2022,0,17.64,,4.17,0.11%,0.17%
https://www.eliteprospects.com/player/490183/vyacheslav-aksyonovVyacheslav Aksyonov2022,Vyacheslav Aksyonov,Unsigned,F,"belarus, belarus-vysshaya","HK Lida, HK Lida-2",2022,3,20.51,1.71,4.58,0.11%,0.10%
https://www.eliteprospects.com/player/623826/sam-riceSam Rice2022,Sam Rice,Unsigned,F,"ushs-mn, nahl","Prior Lake High, totals",2022,0,17.71,3.23,4,0.11%,0.19%
https://www.eliteprospects.com/player/411379/sebastian-falkSebastian Falk2022,Sebastian Falk,Unsigned,F,allsvenskan,AIK,2022,3,20.18,1.35,3.68,0.11%,0.17%
https://www.eliteprospects.com/player/542997/maxime-orlovMaxime Orlov2022,Maxime Orlov,Unsigned,F,u20-elit,Biel-Bienne U20,2022,1,18.55,1.78,5.94,0.11%,0.38%
https://www.eliteprospects.com/player/489693/samuel-jakabfySamuel Jakabfy2022,Samuel Jakabfy,Unsigned,D,erste-liga,DEAC,2022,2,19.35,0.14,0.44,0.11%,0.63%
https://www.eliteprospects.com/player/692473/joseph-pennerJoseph Penner2022,Joseph Penner,Unsigned,D,ushs-mn,Blaine High,2022,0,17.94,0.69,1.98,0.11%,0.21%
https://www.eliteprospects.com/player/685825/gage-senioGage Senio2022,Gage Senio,Unsigned,D,usphl-premier,Dells Ducks,2022,0,17.33,,1.5,0.11%,0.46%
https://www.eliteprospects.com/player/375389/brandon-lajoieBrandon Lajoie2022,Brandon Lajoie,Unsigned,F,nahl,St. Cloud Norsemen,2022,2,19.91,1.47,4.74,0.11%,0.15%
https://www.eliteprospects.com/player/492099/nick-blagdenNick Blagden2022,Nick Blagden,Unsigned,F,qmjhl,totals,2022,1,18.9,0.62,1.68,0.11%,0.17%
https://www.eliteprospects.com/player/723664/camden-lewisCamden Lewis2022,Camden Lewis,Unsigned,D,naphl-18u,Ontario Jr. Reign 18U AAA,2022,0,17.27,0.75,0.68,0.11%,0.36%
https://www.eliteprospects.com/player/512838/daniil-belyalovDaniil Belyalov2022,Daniil Belyalov,Unsigned,F,"nmhl, vhl","Ryazan-VDV, totals",2022,3,20.36,,5.38,0.11%,0.17%
https://www.eliteprospects.com/player/589598/vincent-saliceVincent Salice2022,Vincent Salice,Unsigned,F,ushl,totals,2022,1,18.55,1.83,4.89,0.11%,0.12%
https://www.eliteprospects.com/player/734417/brendan-bottemBrendan Bottem2022,Brendan Bottem,Unsigned,F,ushs-mn,Thief River Falls High,2022,1,18.16,1.11,3.6,0.11%,0.46%
https://www.eliteprospects.com/player/533234/braden-smithBraden Smith2022,Braden Smith,Unsigned,D,bchl,totals,2022,1,18.44,0.59,0,0.11%,0.04%
https://www.eliteprospects.com/player/403390/tyson-janzenTyson Janzen2022,Tyson Janzen,Unsigned,D,sjhl,Yorkton Terriers,2022,3,20.42,,2.43,0.11%,0.17%
https://www.eliteprospects.com/player/317645/jack-morrisJack Morris2022,Jack Morris,Unsigned,D,mjahl,totals,2022,2,19.95,0.82,2.27,0.11%,0.07%
https://www.eliteprospects.com/player/574728/johan-hultqvistJohan Hultqvist2022,Johan Hultqvist,Unsigned,D,j20-div.1,Spanga IS J20,2022,1,18.37,0.47,0.25,0.11%,0.06%
https://www.eliteprospects.com/player/650070/brennan-nelsonBrennan Nelson2022,Brennan Nelson,Unsigned,F,bchl,West Kelowna Warriors,2022,1,18.49,1.04,4.53,0.11%,0.27%
https://www.eliteprospects.com/player/475175/keegan-slaneyKeegan Slaney2022,Keegan Slaney,Unsigned,D,whl,totals,2022,1,18.43,1.69,3.03,0.11%,0.12%
